こむぎ ［ふ類］ 焼きふ 釜焼きふ,28.5,2.7,56.9,1
こむぎ ［ふ類］ 焼きふ 板ふ,25.6,3.3,57.3,1
こむぎ ［ふ類］ 焼きふ 車ふ,30.2,3.4,54.2,1
こむぎ ［ふ類］ 油ふ,22.7,35.3,34.4,1
こむぎ ［その他］ 小麦はいが,32,11.6,48.3,1
こむぎ ［その他］ 小麦たんぱく 粉末状,72,9.7,10.6,1
こむぎ ［その他］ 小麦たんぱく 粒状,20,2,1.8,1
こむぎ ［その他］ 小麦たんぱく ペースト状,25,4.1,3.9,1
こむぎ ［その他］ かやきせんべい,10.6,1.9,75.1,1
こむぎ ［その他］ ぎょうざの皮 生,9.3,1.4,57,1
こむぎ ［その他］ しゅうまいの皮 生,8.3,1.4,58.9,1
こむぎ ［その他］ 春巻きの皮 生,8.3,1.6,62.2,1
こむぎ ［その他］ 春巻きの皮 揚げ,7.2,30.7,53.7,1
こむぎ ［その他］ ピザ生地,9.1,3,51.1,1
こむぎ ［その他］ ちくわぶ,7.1,1.2,31.1,1
こむぎ ［その他］ パン粉 生,11,5.1,47.6,1
こむぎ ［その他］ パン粉 半生,12.5,5.8,54.3,1
こむぎ ［その他］ パン粉 乾燥,14.6,6.8,63.4,1
こむぎ ［その他］ 冷めん 生,3.9,0.7,57.6,1
こめ ［水稲穀粒］ 玄米,6.8,2.7,74.3,1
こめ ［水稲穀粒］ 半つき米,6.5,1.8,75.9,1
こめ ［水稲穀粒］ 七分つき米,6.3,1.5,76.6,1
こめ ［水稲穀粒］ 精白米 うるち米,6.1,0.9,77.6,1
こめ ［水稲穀粒］ 精白米 もち米,6.4,1.2,77.2,1
こめ ［水稲穀粒］ 精白米 インディカ米,7.4,0.9,77.7,1
こめ ［水稲穀粒］ はいが精米,6.5,2,75.8,1
こめ ［水稲穀粒］ 発芽玄米,6.5,3.3,74.3,1
こめ ［水稲穀粒］ 赤米,8.5,3.3,71.9,1
こめ ［水稲穀粒］ 黒米,7.8,3.2,72,1
こめ ［水稲めし］ 玄米,2.8,1,35.6,1
こめ ［水稲めし］ 半つき米,2.7,0.6,36.4,1
こめ ［水稲めし］ 七分つき米,2.6,0.5,36.7,1
こめ ［水稲めし］ 精白米 インディカ米,3.8,0.4,41.5,1
こめ ［水稲めし］ 精白米 うるち米,2.5,0.3,37.1,1
こめ ［水稲めし］ 精白米 もち米,3.5,0.5,43.9,1
こめ ［水稲めし］ はいが精米,2.7,0.6,36.4,1
こめ ［水稲めし］ 発芽玄米,3,1.4,35,1
こめ ［水稲めし］ 赤米,3.8,1.3,32.7,1
こめ ［水稲めし］ 黒米,3.6,1.4,32.2,1
こめ ［水稲軟めし］ 精白米,1.8,0.3,26.4,1
こめ ［水稲全かゆ］ 玄米,1.2,0.4,15.2,1
こめ ［水稲全かゆ］ 半つき米,1.1,0.3,15.5,1
こめ ［水稲全かゆ］ 七分つき米,1.1,0.2,15.6,1
こめ ［水稲全かゆ］ 精白米,1.1,0.1,15.7,1
こめ ［水稲五分かゆ］ 玄米,0.6,0.2,7.6,1
こめ ［水稲五分かゆ］ 半つき米,0.6,0.1,7.7,1
こめ ［水稲五分かゆ］ 七分つき米,0.6,0.1,7.7,1
こめ ［水稲五分かゆ］ 精白米,0.5,0.1,7.9,1
こめ ［水稲おもゆ］ 玄米,0.4,0.1,4.4,1
こめ ［水稲おもゆ］ 半つき米,0.3,0.1,4.6,1
こめ ［水稲おもゆ］ 七分つき米,0.3,0.1,4.6,1
こめ ［水稲おもゆ］ 精白米,0.3,0,4.7,1
こめ ［陸稲穀粒］ 玄米,10.1,2.7,71.1,1
こめ ［陸稲穀粒］ 半つき米,9.6,1.8,72.9,1
こめ ［陸稲穀粒］ 七分つき米,9.5,1.5,73.4,1
こめ ［陸稲穀粒］ 精白米,9.3,0.9,74.5,1
こめ ［陸稲めし］ 玄米,4.1,1,34.3,1
こめ ［陸稲めし］ 半つき米,3.8,0.6,35.3,1
こめ ［陸稲めし］ 七分つき米,3.6,0.5,35.7,1
こめ ［陸稲めし］ 精白米,3.5,0.3,36.1,1
こめ ［うるち米製品］ アルファ化米 一般用,6,1,84.8,1
こめ ［うるち米製品］ アルファ化米 学校給食用強化品,6,1,84.8,1
こめ ［うるち米製品］ おにぎり,2.7,0.3,39.4,1
こめ ［うるち米製品］ 焼きおにぎり,3.1,0.3,39.5,1
こめ ［うるち米製品］ きりたんぽ,3.2,0.4,46.2,1
こめ ［うるち米製品］ 上新粉,6.2,0.9,78.5,1
こめ ［うるち米製品］ 玄米粉,7.1,2.9,84.1,1
こめ ［うるち米製品］ 米粉,6,0.7,81.9,1
こめ ［うるち米製品］ 米粉パン 食パン,10.7,5.1,41.6,1
こめ ［うるち米製品］ 米粉パン ロールパン,8.8,6.7,42,1
こめ ［うるち米製品］ 米粉パン 小麦グルテン不使用のもの,3.4,3.1,51.3,1
こめ ［うるち米製品］ 米粉めん,3.6,0.7,58.4,1
こめ ［うるち米製品］ ビーフン,7,1.6,79.9,1
こめ ［うるち米製品］ ライスペーパー,0.5,0.3,84.3,1
こめ ［うるち米製品］ 米こうじ,5.8,1.7,59.2,1
こめ ［もち米製品］ もち,4,0.6,50.8,1
こめ ［もち米製品］ 赤飯,4.3,0.6,41.9,1
こめ ［もち米製品］ あくまき,2.3,1.8,25.7,1
こめ ［もち米製品］ 白玉粉,6.3,1,80,1
こめ ［もち米製品］ 道明寺粉,7.1,0.7,80.4,1
こめ ［その他］ 米ぬか,13.4,19.6,48.8,1
そば そば粉 全層粉,12,3.1,69.6,1
そば そば粉 内層粉,6,1.6,77.6,1
そば そば粉 中層粉,10.2,2.7,71.6,1
そば そば粉 表層粉,15,3.6,65.1,1
そば そば米,9.6,2.5,73.7,1
そば そば 生,9.8,1.9,54.5,1
そば そば ゆで,4.8,1,26,1
そば そば 半生そば,10.5,3.8,61.8,1
そば 干しそば 乾,14,2.3,66.7,1
そば 干しそば ゆで,4.8,0.7,22.1,1
とうもろこし 玄穀 黄色種,8.6,5,70.6,1
とうもろこし 玄穀 白色種,8.6,5,70.6,1
とうもろこし コーンミール 黄色種,8.3,4,72.4,1
とうもろこし コーンミール 白色種,8.3,4,72.4,1
とうもろこし コーングリッツ 黄色種,8.2,1,76.4,1
とうもろこし コーングリッツ 白色種,8.2,1,76.4,1
とうもろこし コーンフラワー 黄色種,6.6,2.8,76.1,1
とうもろこし コーンフラワー 白色種,6.6,2.8,76.1,1
とうもろこし ジャイアントコーン フライ 味付け,5.7,11.8,76.6,1
とうもろこし ポップコーン,10.2,22.8,59.6,1
とうもろこし コーンフレーク,7.8,1.7,83.6,1
はとむぎ 精白粒,13.3,1.3,72.2,1
ひえ 精白粒,9.4,3.3,73.2,1
もろこし 玄穀,10.3,4.7,71.1,1
もろこし 精白粒,9.5,2.6,74.1,1
ライむぎ 全粒粉,12.7,2.7,70.7,1
ライむぎ ライ麦粉,8.5,1.6,75.8,1
＜いも類＞ アメリカほどいも 塊根 生,5.9,0.6,35.6,2
＜いも類＞ アメリカほどいも 塊根 ゆで,6,0.8,34.5,2
＜いも類＞ きくいも 塊茎 生,1.9,0.4,14.7,2
＜いも類＞ きくいも 塊茎 水煮,1.6,0.5,11.3,2
＜いも類＞ こんにゃく 精粉,3,0.1,85.3,2
＜いも類＞ こんにゃく 板こんにゃく 精粉こんにゃく,0.1,0,2.3,2
＜いも類＞ こんにゃく 板こんにゃく 生いもこんにゃく,0.1,0.1,3.3,2
＜いも類＞ こんにゃく 赤こんにゃく,0.1,0,2.5,2
＜いも類＞ こんにゃく 凍みこんにゃく 乾,3.3,1.4,77.1,2
＜いも類＞ こんにゃく 凍みこんにゃく ゆで,0.7,0.3,16.8,2
＜いも類＞ こんにゃく しらたき,0.2,0,3,2
＜いも類＞ （さつまいも類） さつまいも 塊根 皮つき 生,0.9,0.5,33.1,2
＜いも類＞ （さつまいも類） さつまいも 塊根 皮つき 蒸し,0.9,0.2,33.7,2
＜いも類＞ （さつまいも類） さつまいも 塊根 皮つき 天ぷら,1.4,6.8,38.4,2
＜いも類＞ （さつまいも類） さつまいも 塊根 皮なし 生,1.2,0.2,31.9,2
＜いも類＞ （さつまいも類） さつまいも 塊根 皮なし 蒸し,1.2,0.2,31.9,2
＜いも類＞ （さつまいも類） さつまいも 塊根 皮なし 焼き,1.4,0.2,39,2
＜いも類＞ （さつまいも類） さつまいも 蒸し切干,3.1,0.6,71.9,2
＜いも類＞ （さつまいも類） むらさきいも 塊根 皮なし 生,1.2,0.3,31.7,2
＜いも類＞ （さつまいも類） むらさきいも 塊根 皮なし 蒸し,1.2,0.3,31.4,2
＜いも類＞ （さといも類） さといも 球茎 生,1.5,0.1,13.1,2
＜いも類＞ （さといも類） さといも 球茎 水煮,1.5,0.1,13.4,2
＜いも類＞ （さといも類） さといも 球茎 冷凍,2.2,0.1,16.1,2
＜いも類＞ （さといも類） セレベス 球茎 生,2.2,0.3,19.8,2
＜いも類＞ （さといも類） セレベス 球茎 水煮,2.1,0.3,19.1,2
＜いも類＞ （さといも類） たけのこいも 球茎 生,1.7,0.4,23.5,2
＜いも類＞ （さといも類） たけのこいも 球茎 水煮,1.6,0.4,21.8,2
＜いも類＞ （さといも類） みずいも 球茎 生,0.7,0.4,27.6,2
＜いも類＞ （さといも類） みずいも 球茎 水煮,0.7,0.4,26.1,2
＜いも類＞ （さといも類） やつがしら 球茎 生,3,0.7,20.5,2
＜いも類＞ （さといも類） やつがしら 球茎 水煮,2.7,0.6,20,2
＜いも類＞ じゃがいも 塊茎 皮つき 生,1.8,0.1,15.9,2
